# lang=nl
woordenboek	dictionary
Côte d'Or	the chain of hills West of the Saône valley, which the above département was named after
ketelmuziek	a charivari, cacophonous noise, mock serenade
ketelmuziek	any loud, annoying noise
verbeterhuis	a penitentiary or other house of correction
verbeterhuis	a reformatory (school)
onverbeterlijk	incorrigible
onverbeterlijk	irreparable, not mendable
onverbeterlijk	unsurpassable, beyond improvement
hes	a short, protective type of blouse or shirt, typically worn by manual laborers
hes	a light version of the above, worn as a signal, notably to be noticed by traffic
hatelijk	hateful, malicious
hatelijk	odious, abominable
hatelijk	hatefully
correcteur	a corrector, notably
op hol	runaway, out of control, amok
holst	the core, center; notably used in in het holst van de nacht 'at the dead of night'
toestemmen	to consent, agree
toestemmen	to award
toestemmen	to allow
dirigeren	to direct, to lead
dirigeren	to conduct, to musically direct an orchestra, choir or other ensemble
dirigeren	to address, to send (to)
kurken	made or consisting of cork
formalisme	formalism
dagschotel	plat du jour, special
dagloon	daily pay, daily wages, as opposed to hourly or long-term remuneration
dagloner	a dayworker, day-labourer; one who works for daily wages, and is employed on daily basis, without mid- or long-term job security
voetvolk	the infantry, the non-mounted troops
voetsoldaat	a foot soldier, infantryman
infanterist	foot soldier, infantryman
infanterie	the infantry, non-mounted troops, notably on land
tweeklank	a diphthong
dankwoord	a speech of thanks, a word of thanks
ranglijst	a ranking in the form of a list
loonlijst	a wage-sheet, payroll
loonlijst	someone's sway, (bought) influence
huiszoekingsbevel	a search warrant, court order authorizing the authorities to search a home as part of a criminal investigation
hermeneutisch	hermeneutic, hermeneutical
melkmuil	an immature person, notably an ignorant novice; greenhorn
melkman	a milkman, dairy seller and/or - deliver
pratatief	talkative
spaargeld	one's savings
spaarder	a saver, who makes/own savings
spaarder	the holder of a savings account
oorvijg	a box, cuff on the ear, a painful smack on the side of the face with a flat hand
oorvegen	to box someone's ear(s), administer at least one cuff on the ear
parenthese	a parenthesis, clause or digression within a phrase
parenthese	a pair of parenthetic brackets (or short vertical dashes: - --), as used to mark the above
parenthese	a pair of parenthetic brackets used to clarify a mathematical expression
voer	fodder, grub, animal food, feed, (for humans) inferior food
voer	(wagon) load
veeg	a swipe, vivid movement
veeg	doomed to die
veeg	near death
registrator	a registrant or registrar, person (notably clerk) charged with keeping (a) register(s), possibly combined with other secretarial work; also as a specific title in various civilian and military uses
registrator	a recorder, registring device or person taking notes as if automatically registring
registratie	a registration, the act of registering or being registered
registratie	an office in charge of registrations, especially when it also receives correlated payment of tax or other levies
registratie	a registration, the act of selecting stops on an organ
knapenliefde	a love for boys, i.e. pedophilia directed to boys as sexually attractive
knapenliefde	homosexuality
knapenschennis	a pederasty, sexual abuse of (a) male minor(s)
majesteitsschennis	a lese majesty, high crime against the person of a monarch, or the monarchy or crown; by extension even against any sovereign state (which in Roman law was the original holder of 'majesty', only later a ruler's title)
nagras	the lattermath, grass grown after the first crop has been harvested for hay
nagras	the leftovers
bestuurstaal	an official language which is used by public authorities for administrative purposes
Groenlands	Greenlandic, in or referring to Greenland, its people etc.
Groenlands	in or relating to the Greenlandic native (Inuit) language (see below)
Groenlands	the Greenlandic native (Inuit) language
meisjesnaam	a given name to a female person or girl
meisjesnaam	the surname of a woman before she is married and adopted the surname of her husband
familienaam	surname
familienaam	name of a taxonomic family
geslachtsnaam	family name
doopnaam	baptismal name
persoonsnaam	a personal name, a proper name identifying an individual person, especially the full name
jongensnaam	a given name to a male person or boy
vleinaam	pet name, name of endearment, nickname
afgelegen	remote
tweede naam	second name, middle name, forename
middelnaam	middle name
middelnaam	a trait, activity, or action closely associated with a person
naam voluit	the full name identifying an individual person: first name and last name of a person
meteoriet	meteorite
verwoesting	devastation, destruction
schattebout	darling, precious, sweetie
Nieuw-Amsterdam	New Amsterdam, the Dutch colony on the North American East Coast which later became British as New York (renamed after an English city)
Amstel	a poetic metonym for Amsterdam, which lies on the river and is named after it
Amstels	on or otherwise relating to the river Amstel
Amstels	relating to Amsterdam, the major Dutch port city on it, named after it and poetically referred to as Amstel
heldendicht	an epic, narrative poem (or by extension prose), notably on a hero
heldendicht	an epic episode or scene
heldendaad	a heroic deed, act, feat
miauwerik	a cat, notably when it meows
mauwer	a meower, usually a cat
gemiauw	the act, an instance or rather an (often annoying) episode of meowing
gemiauw	the sound of meowing
hellegebroed	a hellspawn, (a) creature(s) from hell
hellegebroed	the worst, vilest, most vicious, fiendish or monstruous
flens	a small, flat pancake
flens	a smack, blow, especially on the ear
flens	a small (loin)cloth
domweg	stupidly, simply (in a negative sense)
foutenrapportage	error report
kipfilet	chicken fillet
plompzakken	to insert both the penis and the scrotum into the vagina during sex
per omgaande	immediately (ASAP)
stemgeluid	tone of voice
woordgroep	word category or word group
wrikken	to pry, wrench
rustiek	rustic
rustiek	unrefined, uneducated, uncivilised
trekdier	a draught animal, used to draw a load or loaded cart, plow etc.
werkdier	a working animal, a domesticated animal put to work of use for man, as opposed to pets and wild animals
rijdier	a riding-animal or mount, a domesticated animal used to carry a rider on its back, as opposed to pets, draught animals and wild animals
berijder	a rider, who rides a mount
berijder	a mobile deputy mandated by a Flemish baljuw (high feudal bailiff) to render justice in and under his jurisdiction
Zwarte Woud	the Black Forest, a major woodland in southwestern Germany
zwarte magie	black magic, 'dark' (i.e. evil) magic, sorcery
ploegjongen	a plowboy, boy who helps the plowman by driving the draught animals in front of the plow
bieper	one that beeps
bieper	a beeper, a noise-signalling device
opbiepen	to beep (someone), call by beeper
Oosten	the Orient, Oriental countries and cultures, the East, the Eastern world
dalmatiek	a dalmatic, notably as Catholic liturgic vestment
Ripuariër	a Ripuarian (Frank)
Oudnoors	Old Norwegian
Borromeïsche eilanden	Borromean Islands
pantoffel	slipper
beeldmontage	a montage composed from various pictures or (e.g. film) images
nabuurschap	neighborhood (quality of nearness), proximity
nabuurschap	neighbourliness; a neighbourly disposition
nabuur	neighbour
nabuur	neighbouring country, state
nabuur	the ruler of the above
Dalmatisch	Dalmatian, from or relating to Dalmatia
roskop	a redhead, ginger
weersverwachting	weather forecast
krachtterm	an expletive; a profane or abusive term, notably a curse, blasphemous or obscene oath
retentor	the holder of a right of retensio, i.e. to keep something one doesn't own
ploegman	a plowman, male plower
ploegman	a man belonging to a team or crew
klauteren	to climb
ploeger	a plower, plowman
ploeger	a farmer whose land is large enough to use/need a plow
ploegos	an ox used to pull a plow
crisette	a minor crisis, notably in politics
zenuwinstorting	a nervous breakdown, mental collapse
Habsburg	the castle in Aargau (northern Switzerland)
Habsburg	the noble family named after it
koperen	(consisting of) copper, coppern
koperen	(made of) brass, brazen
koperen	to copper, mount, cover, coat or otherwise fit with copper or brassware
natte droom	a wet dream, sexual eruption while asleep
natte droom	a wet dream, wildly exciting aspiration
ouderloos	parentless, without any parent
vaderloos	fatherless, without a father
overheersen	to dominate
gesmeerd	smooth, without problems (as if grease were applied to it)
fluvioglaciaal	fluvioglacial, having to do with meltwater
theeventer	tea vendor
puntschoen	pointy shoe
wetgever	a legislator, a lawmaker or lawgiver, a person who or an institution which makes (a) law(s)
stuntel	a bumbler, klutz
boerenstand	the peasantry, the rural component of the third estate
verbloeming	a euphemistic or masked phrasing, vaguery
verbloeming	an excuse, apologetic phrasing, justification
verbloeming	a rhetoric figure of speech
brilslang	Indian cobra ()
gifslang	a venomous snake, poisonous serpent
slangengif	snake venom
standenvergadering	a representative assembly of the social estates
derde stand	the third estate, the commoners as a represented (mainly bourgeoisie and/or cities as such) feudal estate below the privileged nobility and clergy; often excluding an even lowlier fourth estate, which is denied representation
paternalisme	paternalism
adelstand	nobility
aristocratie	aristocracy
aristocratie	aristocracy, nobility
rouwkleur	a mournful colour, as befits funeral proceedings
rouwkleur	a sad or depressing colour
tijdvak	a (long) period of time, notably one of the chronological divisions of history, natural history etc.
tijdvak	an age, era, the period something exists, thrives etc.
wetgeven	to legislate, make (a) law(s)
bouwvak	the construction business, trade
bouwvak	the builder's profession, métier
bouwvak	the construction workers' summer holidays
vakwerk	a good, professional-level job, ably skilled performance
vakwerk	a construction technique where a building's (exterior) wall is divided up by wooden laths into squares, often subdivided diagonally, then each square or triangle filled up with plaster etc.; a construction
vakwerk	a truss, a support structure of interconnected beams or girders forming triangles
pleisterwerk	the (construction) activity plastering
pleisterwerk	a plastering job; its stucco results
pleisterkalk	the material plaster(ing chalk), stucco
pleisteren	(made of) plaster
pleisteren	cast in plaster
pleisteren	to (apply) plaster, stucco
watervogel	an aquatic bird
pechvogel	a human jinx, unlucky person, who seems to attract bad luck
ongeluksvogel	a human jinx, unlucky person, who seems to attract bad luck
vogeldrager	a mason's assistant, typically fetching building materials etc.
lastdrager	one which carries loads such as a porter
lastdrager	a servant
lastdrager	roof rack of a vehicle or back rack of a utility bicycle
Saintes	a city in the southeastern French département Charente-Maritime, the former capital of the Saintonge province
Saintes	a French Catholic diocese named after the above, its see
Saintes	a French arrondissement named after the above, its capital
schoothond	a lapdog, a canine pet which is small and/or frequently cuddled
schoothond	a human, (nearly) willless 'pet' or flunky
schootkind	a small child, easy to take on an adult's lap
schootkind	a child which enjoys sitting on the lap
schootkind	a coddled, pampered child
zorgenkind	a problem child, troubled and/or troublesome youngster or offspring
zorgenkind	any source of grave/regular worries
probleemkind	a problem child, troubled and/or troublesome youngster
