# lang=en
free	unfree
little	Thesaurus:big
little	Thesaurus:old
less	more
follower	leader
follower	precursor
foolishness	wisdom
El Niño	La Niña
lust	chastity
phenomenon	thing-in-itself
phenomenon	noumenon
synthesis	analysis
shortage	glut
shortage	mountain
shortage	butter mountain
shortage	surplus
pattern	antipattern
widespread	limited
liberator	enslaver
liberator	oppressor
cyberspace	fleshspace
cyberspace	meatspace
just	unjust
bare	hide
bare	cover up
bare	cover
polytonic	monotonic
direct	indirect
practical	theoretical
practical	impractical
practical	impractical
marriage	divorce
derogatory	honorific
derogatory	laudatory
monotonic	polytonic
empty	fill
final	initial
final	early
final	first
corporeal	ethereal
corporeal	insubstantial
corporeal	intangible
corporeal	incorporeal
corporeal	spiritual
incorporeal	corporeal
inevitable	avoidable
inevitable	escapable
inevitable	evitable
inevitable	Thesaurus:avoidable
inevitable	preventable
inevitable	Thesaurus:circumstantial
inevitable	incidental
inevitable	impossible
similar	unlike
similar	dissimilar
similar	different
independent	contingent
independent	dependent
alternative	different
alternative	opposing
auto-	allo-
auto-	hetero-
auto-	syn-
auto-	inter-
auto-	com-
auto-	inter-
auto-	syl-
auto-	sym-
auto-	col-
auto-	cor-
auto-	con-
auto-	co-
auto-	syn-
best	worst
best	baddest
Capricornus	Cancer
walk	run
attraction	repulsion
attract	repel
attractive	ugly
attractive	repulsive
attractive	ugly
attractive	repulsive
attractive	unattractive
responsible	irresponsible
uncomfortable	comfortable
uncomfortable	ergonomic
opposition	apposition
oppose	support
socialist	capitalist
socialist	capitalistic
anonymous	onymous
neighbour	stranger
neighbour	foreigner
beauty	ugliness
beauty	homeliness
beauty	repulsiveness
duty	duty-free
duty	right
allopoiesis	autopoiesis
comfortable	uncomfortable
comfortable	comfortless
copy	original
dependent	independent
diagonal	backslash
source	sink
deep copy	shallow copy
shallow copy	deep copy
underwater	above water
underwater	above-water
fertility	infertility
infertile	fertile
destruction	construction
rhotic	non-rhotic
non-rhotic	rhotic
pejorative	ameliorative
pejorative	approbative
pejorative	eulogistic
pejorative	meliorative
fiction	documentary
fiction	fact
fiction	non-fiction
fiction	truth
white coffee	black coffee
batsman	batswoman
recursive	non-recursive
recur	digress
up	down
up	down
up	down
up	down
she-wolf	he-wolf
powerful	powerless
powerful	strengthless
discover	hide
discover	conceal
discover	cover up
discover	cover
connect	disconnect
confidence	timidity
confidence	shyness
confidence	bashfulness
confidence	insecurity
acquire	abandon
acquire	lose
out	in
adjoining	separated
