# lang=ca
gratis	free, for free
texà	denim, jean
texà	Texan
cal·lígraf	calligrapher
cal·ligràfic	calligraphic
cal·ligrafia	calligraphy
capità	captain
envelliment	aging
envellir	to age
envellir	to age, to grow old, to live to old age
insuficientment	insufficiently
insuficient	insufficient
escassetat	scarcity
escassesa	scarcity
fluorita	fluorite
formador	forming, teaching
formador	teacher, instructor, trainer
argamassa	mortar
conjuntiva	conjunctiva
hematúria	hematuria
magnesita	magnesite
inserir	to insert
esfalerita	sphalerite
espectral	spectral
referenciar	to reference
desconfiança	mistrust, distrust, suspicion
paràlisi	paralysis
calcopirita	chalcopyrite
alteració	alteration
indistintament	indistinctly
indistint	indistinct
indistingible	indistinguishable
distingible	distinguishable
iodar	to iodize
sacarina	saccharine
sacarina	{{feminine singular of|ca|sacarí
laserpici	laserwort ()Font Quer, Pío, «364. LASERPICIO», Plantas medicinales - El Dioscórides renovado, 2002, Barcelona: Península, 1999, p. 511.
cercametalls	metal detector
afusellar	to shoot, to execute with guns
afusellar	to plagiarize
fusell	rifle
fusell	stud axle
cercatresors	metal detector
cercatresors	treasure-hunter
nodrir	to nourish
nodridor	nourishing
nodriment	nourishment
llengua materna	mother tongue
mediterrani	Mediterranean
campanià	Campanian
campanià	Campanian
terratinent	landowner
màquina d'escriure	typewriter
qualificar	to qualify
assentir	to assent, to consent, to agree
assentar	to settle, to set up
butxacada	pocketful
bilbaí	Bilbaoan
bilbaí	Bilbaoan
quantia	quantity, amount
caucionar	to bail out
ugandès	Ugandan
ugandès	Ugandan
sagrat	sacred, holy
sacríleg	sacrilegious
sacrílegament	sacrilegiously
caixa forta	strongbox, safe
algerià	Algerian
algerià	Algerian
confessar	to confess
confessar	to confess
surrealisme	surrealism
contrapartida	counterpart
contrapartida	compensation
transcripció	transcription
cristianització	Christianization
denúncia	denunciation
denúncia	criminal charge
visió	vision, sight
visió	vision
borni	one-eyed
ullblau	blue-eyed
litúrgic	liturgical
fonètica	phonetics
reprimible	repressible
rojor	redness
vermellor	redness
legalització	legalization
encarregar	to instruct
encarregar	to charge, put in charge
encarregar	to take over
enquadrar	to square; to make a square
enquadrar	to frame
ingenu	naive
cobertor	bedspread, coverlet, counterpane
cobertor	a protective and decorative cloth spread over an altar, table, etc.
durada	duration, length
assaltar	to assault, to attack
delícia	delicacy
delícia	delight
bastidor	frame, framework
bastidor	chassis, frame
extorquir	to impose by force
extorquir	to extort
enforcar	to fork up
enforcar	to hang
enforcar	to string
fruir	to enjoy
folga	joke, pleasantry
folga	rest from work
folga	laziness
galeria	gallery
galeria	avalanche gallery, snow shed
galeria	valance, pelmet
vejam	let's see, let me see
regressar	to return, to go back
governador	governor
instigador	instigative
instigador	instigator
monàstic	monastic
psiquiatre	psychiatrist
bonesa	goodness
matança	slaughter, killing
matança	massacre
subhastar	to auction
subhasta	auction
pericial	expert
rebentada	bursting, explosion
rebentada	puncture
rebentada	a scathing critique
reverencial	reverential
rodada	roundoff
testador	testator
ressaca	hangover
ressaca	undertow
afirmativa	an affirmative answer
vividor	long-lived
vividor	bon vivant, bon viveur
inflació	inflation
possibilitar	to enable, to make possible
marsopa	porpoise
fosfatar	to phosphate, phosphatize
grandesa	bigness
grandesa	grandeur
ferla	giant fennel
cerimonial	ceremonial
perlita	perlite
perlita	pearlite
vitrificar	to vitrify
descobridor	discovery
descobridor	discoverer
desagregar	to disaggregate
especialitat	specialty
aturada	halt, stoppage, standstill
aturada	arrest
emissor	emission, transmission; emitting, transmitting
emissor	emitter, transmitter
emissor	speaker
fluorar	to fluorinate
afamar	to starve
al·lèrgic	allergic
travessia	crossing
travessia	shortcut
brocar	to spur (a horse)
brocar	to ride a horse towards a place, to go there on horseback.
broca	honing steel
broca	twist drill, drill bit
broca	square tack
farga	forge
incinerador	relative to incineration, or used to incinerate
incinerador	incinerator
metilar	to methylate
abismar	to cast into an abyss, to sink
abismar	to destroy
abismar	to fall into an abyss
obturar	to block
referencial	referential
referencial	universe
referencial	frame of reference
marcapassos	pacemaker
insígnia	insignia
insígnia	ensign
dissipar	to dissipate, to dissolve
virada	tack, tacking
virada	(of colour) change
embut	funnel
embut	circumlocution
embrutar	to dirty, to soil
embrutar	to taint, to sully, to besmirch
sumptuós	sumptuous
purisme	purism
butil	butyl
etil	ethyl
propil	propyl
intuir	to know intuitively
ètnic	ethnic
ètnia	ethnic group, ethnicity
equinoderm	echinoderm
buidesa	emptiness
buidor	emptiness
marçal	March
marcer	March
endocrí	endocrine
ètic	ethical
ètica	ethics
apegar	to glue, to stick
apegar	to transmit, to infect
daltonià	colour blind
daltonià	someone who is colour blind
daltònic	colour blind
daltònic	someone who is colour blind
arquejar	to arc
arquejar	to arc
arquejar	to measure the volume of a vessel
arcàngel	archangel
danyós	harmful
danyosament	harmfully
darwinià	Darwinian
astúcia	astuteness, cunning
balançada	the amount weighed on a scale
balançada	oscillation of a spinning object; rocking, swaying, roll
batedor	beater
batedor	batter
batedor	batsman
batedora	blender
batedora	thresher
brotada	sprouting
brotada	rash, skin eruption
estatut	statute
espasme	spasm
cantador	singer
cantador	singer
imprevist	unforeseen, unexpected
preveure	to foresee, to expect
endauat	checkered
endemà	the day after; the next day
endeutar	to put into debt
endeutar	to go into debt
endeutat	indebted
endeutament	indebtedness
dida	wet nurse
alletar	to nurse; to suckle; to breast feed
alletament	breastfeeding
alleugerir	to lighten, alleviate
alleugerir	to relieve, ease
allioli	aioli
cautxú	rubber
cautxú	rubber tree
incisió	incision, cut
depilació	hair removal
depilació	hair loss
fidedigne	trustworthy, reliable
fictici	fictitious, fictional
ficció	fiction
ficció	fabrication, invention
crestar	to castrate, to geld
crestar	to extract a comb from a hive
rosetó	rose window
rosassa	rose window
ascendir	to ascend, to rise
ascendir	to promote
punyalada	stab wound
baionetada	a stab with a bayonet
espasada	a strike or cut dealt with a sword
alabardada	a blow dealt with a halberd
punyada	punch
punxut	pointed, sharp
enuig	anger
enuig	annoyance
enutjar	to anger
enutjar	to annoy
enutjar	to become angry, annoyed, etc.
resinós	resinous
resistència	resistance
irresistiblement	irresistibly
irremeiable	irremediable
irremeiablement	irremediably
contramestre	boatswain, petty officer
contramestre	foreman, overseer
dignar	to deign
encetar	to begin to consume, to open
encetar	to make the first slice, to cut into, to slice into
encetar	to broach , to initiate
endossar	to assign (something annoying)
endossar	to endorse (a credit document, e.g. a letter of credit, a cheque etc.)
estada	stay, sojourn
motejar	to call names; to nickname
motejar	to fleck, to spot
raciocinar	to reason
esgotar	to exhaust, to deplete, to use up
esgotar	to be used up, to run out
conillet	bunny
conillet	snapdragon
ceptre	sceptre
eixugacabells	hairdryer
feltre	baize
ensopir	to lull; to make drowsy
ensopir	to become drowsy, fall into a stupor
eixugaparabrises	windshield wiper
parabrisa	windshield, windscreen
mànec	the handle of a tool
mànec	manubrium
mànec	bridge
eixutament	dryly
eixutesa	dryness
eixutesa	curtness, plainness, bluntness, taciturnity
eixutor	dryness
eixutor	drought
secament	dryly
dida seca	wet nurse
filisteu	philistine
filisteu	Philistine
filisteu	philistine
piscolabis	snack
esvair	to defeat, to rout
esvair	to devastate
esvair	to dispel, destroy, eliminate
lascívia	lust, lasciviousness, lewdness
entrecot	entrecôte
freqüentar	to frequent
injúria	insult, offence
retorquir	to twist
pubertat	puberty
zona horària	time zone
fus horari	time zone
blancor	whiteness
blancúria	whiteness
rígidament	rigidly
rígid	rigid
rigiditat	rigidity, stiffness
rigidesa	rigidity, stiffness
inflexibilitat	inflexibility
flexibilitat	flexibility
frisar	to get impatient, to fret
frisar	to hurry, to rush
frisar	to be eager for, to long for, to yearn for
ordenança	ordering, putting in order
ordenança	ordinance
ordenança	orderly
requestar	to demand
requesta	request, demand
requesta	summons
ofegar	to suffocate, smother
ofegar	to smother, braise
ofegar	to drown
foscor	darkness
obscuritat	darkness
obscuritat	obscurity
acollidor	welcoming
rebuda	welcome, reception
rebuda	receipt
lletjor	ugliness
lletgesa	ugliness
inebriar	to inebriate
inebriar	to become inebriated
malícia	malice
mistificar	to mystify
mímica	mimicry
lírica	lyric
lírica	lyric poetry
relíquia	relic
goig	joy, pleasure
goig	a verse in praise of the Virgin Mary or a saint
poligonal	polygonal
servil	servile
apreciador	appreciative
apreciador	appreciator
conjuntura	conjuncture, conjunction
conjuntura	juncture, opportunity
minoria	minority
ressecar	to dry up, to parch
ressecar	to dry out
ressonar	to resound
tulipa	tulip
minifaldilla	miniskirt
faldilla	skirt
capicua	palindromic number
capicua	ticket with a palindromic number, especially a lottery ticket
vinificar	to vinify
enamorat	in love
enamorat	lover
sobrevenir	to come up, arise, come forth, be brought about
ajuntar	to join
alaga	Scots pine
masover	tenant farmer and steward of a mas
amargor	bitterness
hoquei	hockey
navarrès	Navarrese
navarrès	Navarrese
navarrès	a variety of Navarro-Aragonese spoken in Navarre
alvocat	avocado
alvocater	avocado
aparença	appearance
aparició	appearance, apparition
apareixement	appearance, apparition
parença	appearance
assolar	to ravage, raze
atracada	mooring
plenitat	plenitude
naveta	incense boat
naveta	small crucible
puntet	little dot
puntet	sight of firearm
puntet	speck
racó	corner
racó	nook, spot
racó	savings
gaspatxo	gazpacho
esquama	scale
raonablement	reasonably
idealment	ideally
desproporcionadament	disproportionately
desproporcionat	disproportionate
onsevulga	anywhere
onsevulga	wherever
hipotèticament	hypothetically
peresós	sloth
peresós	loafer, lazybones
peresosament	lazily
adob	preparation
adob	seasoning, dressing, marinade
adob	cosmetic
sorprenentment	surprisingly
sospitosament	suspiciously
sospitós	suspicious
sospitar	to suspect
sospitar	to be suspicious
amunt	up, upward
dalt	above
dalt	high part of something, upstairs
dalt	over, on, above, on top of
avall	down, downwards
davall	below, underneath
davall	below, underneath
suaument	softly
socialment	socially
tossudament	stubbornly
prènsil	prehensile
preó	preon
significativament	significantly
significatiu	significant
expressivament	expressively
tristament	sadly
aparentment	seemingly, apparently
escèpticament	skeptically
repetidament	repeatedly
atlèticament	athletically
atlètic	athletic
fonèticament	phonetically
enlloc	nowhere, anywhere
individualment	individually
erròniament	wrongly, erroneously
tendrament	tenderly
afartar	to fill up, to stuff
afartar	to make fed up, bore, annoy
afartar	to get full, satiate oneself
bufanúvols	pretentious person
aversió	aversion
cromatisme	chromatism (all senses)
cromatisme	colour (melodic embellishment)
podrit	rotten
podrit	sick, in the process of becoming rotten
repulsiu	repulsive
repulsiu	repulsive, gross
explosiu	explosive
explosiu	explosive
ferrar	to horseshoe, to shoe a horse
ferrar	to put in irons
ferrar	to fry
esmicolar	to shatter, break into small pieces, blow to smithereens
adeu-siau	goodbye, farewell
bonança	dead calm, lull
bonança	times of prosperity
excessivament	excessively
boví	bovine
boví	bovine
aromar	to scent
careta	loggerhead turtle
carregador	docker, dockworker
carregador	charger
carregador	magazine, clip
confraria	religious brotherhood
confraria	guild
sorbir	to drink, to absorb
faisà	pheasant
portaavions	aircraft carrier
fortament	strongly
bruel	firecrest ()
eclesiàstic	ecclesiastical
bledà	lush, healthy and lovely
palada	a shovelful, a spadeful
palada	a blow from a spade or shovel
palada	a stroke of a paddle
esponjar	to sponge up, to absorb with a sponge
esponjar	to raze
esponjar	to fluff up
paisà	a fellow countryman
paisà	a peasant
paisà	a civilian
bleda-rave	beet ()
prevenda	presale
seguici	accompaniment
seguici	retinue
seguici	entourage
blaver	of blaverisme (), a Valencian regionalist ideology
blaver	a follower of blaverisme
confidentment	confidently
interactiu	interactive
filipí	Filipino
filipí	Filipino
protagonitzar	to star in; to be the protagonist of
compareixença	appearance (in court)
compareixença	summons
maurità	Mauritanian
maurità	Mauritanian
interuniversitari	interuniversity
tolerància	tolerance
esportista	sportsperson
esmena	correction, emendation
esmena	amendment
esmenar	to emend, to correct
esmenar	to amend
encular	to have anal sex with
asil	shelter, refuge, asylum
ollada	potful
ollada	a type of hearty soup or stew
obituari	of one's death; obituary
obituari	obituary
orri	granary, barn
orri	a typical stone construction from the Pyrenees used to collect sheep for milking
orri	milking ; cheesemaking
vegetalista	vegan, strictly vegetarian
vegetalista	vegan, strict vegetarian
confés	confessed, admitted
confés	confessor
subrogar	to subrogate
sufragani	suffragan
trempar	to temper
trempar	to cut (quills, feathers)
trempar	to tune
estabeig	fuss, ado
manteniment	maintenance
jurament	pledge, oath
anticoncepcional	contraceptive
llefiscós	viscous and sticky, gooey
malèfic	maleficent, malevolent, evil
malvat	evil, wicked, mean, bad
aresta	awn, arista
aresta	fishbone
aresta	splinter
marcià	Martian
marcià	Martian
boç	muzzle
arquebisbe	archbishop
arxillaüt	archlute
motllura	molding
gaig	jay; Eurasian jay
eixam	swarm (of bees)
eixam	crowd; cluster
botxí	executioner; hangman
botxí	great grey shrike
irresponsabilitat	irresponsibility
iàmbic	iambic
antropòleg	anthropologist
antropològic	anthropological
indoeuropeu	Indo-European
indoeuropeu	Indo-European
indoeuropeu	Indo-European
folrar	to line
folrar	to strike it rich
demencial	dementia
demencial	demented; extreme
panpsiquisme	panpsychism
escalador	climber
òliba	barn owl
jangada	an improvised raft made from the wreckage of a sailing ship
mandanga	a miscellaneous item of little value
telepàticament	telepathically
telepàtic	telepathic
boicotejar	to boycott
escandinau	Scandinavian
escandinau	Scandinavian
kafkià	Kafkaesque
hora punta	rush hour
hora punta	peak period
hora punta	prime time
recamar	to emboss, embroider
deuteronomista	Deuteronomist
lígur	Ligurian
lígur	Ligurian
lígur	Ligurian
canelobre	candelabrum
caribeny	Caribbean
caribeny	Caribbean person
cavitat	cavity
cavitat	cavity
subordre	suborder
locutori	locutory, parlor
merovingi	Merovingian
merovingi	Merovingian
oníric	oneiric
esclatar	to burst, explode making a loud noise and discharging fragments
esclatar	to start
esclatar	to bloom
escanejar	to scan
xala	a pleasure outing or excursion, especially a noisy one
esclat	explosion
esclat	shine
esclat	glare
a penes	barely
a penes	barely
embullar	to entangle
